abandon /əˈbændən/, /əˈbændən/;  bỏ rơi, ruồng bỏ
panacea /ˌpænəˈsiːə/, /ˌpænəˈsiːə/;  thuốc bách bệnh, thần dược 
paradigm /ˈpærədaɪm/, /ˈpærədaɪm/;  mẫu, mô hình 
paradox /dɒks/, /dɑːks/;  nghịch lý, mâu thuẫn
parameter /pəˈræmɪtə(r)/, /pəˈræmɪtər/;  giới hạn
paramount /ˈpærəmaʊnt/, /ˈpærəmaʊnt/;  quan trọng nhất
parody /ˈpærədi/, /ˈpærədi/;  nhái lại, nhại lại, bắt chước một cách hài hước
particle /ˈpɑːtɪkl/, /ˈpɑːrtɪkl/;  mảnh nhỏ (của cái gì)
partisan /ˈpɑːtɪzæn/, /ˌpɑːtɪˈzæn/;  thiên vị, thiên lệch
patronize /ˈpætrənaɪz/, /ˈpeɪtrənaɪz/;  đối xử với thái độ kẻ cả, bề trên
peculiar /pɪˈkjuːliə(r)/, /pɪˈkjuːliər/;  kỳ dị
pedantic /pɪˈdæntɪk/, /pɪˈdæntɪk/;  quá quan tâm về những chi tiết hay luật lệ nhỏ nhặt 
pencuniary; (thuộc) tiền
penetrate /ˈpenətreɪt/, /ˈpenətreɪt/;  đâm thủng, xuyên qua
pensive /ˈpensɪv/, /ˈpensɪv/;  trầm ngâm, đăm chiêu 
perceive /pəˈsiːv/, /pərˈsiːv/;  nhận thấy, để ý 
peremptory /pəˈremptəri/, /pəˈremptəri/;  cưỡng bách 
peril /ˈperəl/, /ˈperəl/;  (mối) hiểm nguy
perish /ˈperɪʃ/, /ˈperɪʃ/;  diệt vong
permeate /ˈpɜːmieɪt/, /ˈpɜːrmieɪt/;  lan ra, tràn ngập
perpendicular /ˌpɜːpənˈdɪkjələ(r)/, /ˌpɜːrpənˈdɪkjələr/;  vuông góc 
perpetual /pəˈpetʃuəl/, /pərˈpetʃuəl/;  không ngừng, liên tục, vĩnh viễn
perplex /pəˈpleks/, /pərˈpleks/;  làm rối trí, làm khó hiểu 
persistent /pəˈsɪstənt/, /pərˈsɪstənt/;  kiên trì, kiên định
perspective /pəˈspektɪv/, /pərˈspektɪv/;  quan điểm, một thái độ, cách nhìn nhận về một vấn đề 
pertinacious /ˌpɜːtɪˈneɪʃəs/, /ˌpɜːrtnˈeɪʃəs/;  bướng bỉnh, ương ngạnh 
peruse /pəˈruːz/, /pəˈruːz/;  đọc kỹ, nghiên cứu
pervade /pəˈveɪd/, /pərˈveɪd/;  tỏa khắp, tràn ngập khắp 
perverse /pəˈvɜːs/, /pərˈvɜːrs/;  ngang bướng, ngoan cố
petrify /ˈpetrɪfaɪ/, /ˈpetrɪfaɪ/;  làm ai đó sững sờ, chết điếng 
phobia /ˈfəʊbiə/, /ˈfoʊbiə/;  sự ám ảnh, nổi sợ hãi
pigment /ˈpɪɡmənt/, /ˈpɪɡmənt/;  sắc tố
plagiarize /ˈpleɪdʒəraɪz/, /ˈpleɪdʒəraɪz/;  ăn cắp ý, ăn cắp văn, đạo văn 
platitude /tjuːd/, /tuːd/;  tính vô vị, tính tầm thường, tính nhàm
plebeian /pləˈbiːən/, /pləˈbiːən/;  bình dân, thấp hèn, tầm thường 
poignant /ˈpɔɪnjənt/, /ˈpɔɪnjənt/;  sâu sắc
poll /pəʊl/, /poʊl/;  cuộc điều tra dư luận, cuộc thăm dò ý kiến 
pomp /pɒmp/, /pɑːmp/;  vẻ tráng lệ, sự phô trương rực rỡ, sự phù hoa
ponder /ˈpɒndə(r)/, /ˈpɑːndər/;  nghĩ ngợi (về cái gì)
ponderous /ˈpɒndərəs/, /ˈpɑːndərəs/;  chậm chạp, vụng về, buồn tẻ, chán ngắt 
posthumous /ˈpɒstjʊməs/, /ˈpɑːstʃəməs/;  có được sau khi (ai) chết, xảy ra sau khi chết
posture /ˈpɒstʃə(r)/, /ˈpɑːstʃər/;  tư thế, dáng điệu
potent /ˈpəʊtnt/, /ˈpoʊtnt/;  có ảnh hưởng mạnh (đối với cơ thể hay trí tuệ)
precarious /prɪˈkeəriəs/, /ˈkeriəs/;  bấp bênh, không ổn định
precipitous /prɪˈsɪpɪtəs/, /prɪˈsɪpɪtəs/;  dốc đứng, dốc ngược (đường...) 
precocious /ˈkəʊʃəs/, /ˈkoʊʃəs/;  phát triển sớm (về đứa bé), quá tinh khôn (về cách cư xử của đứa bé) 
predecessor /ˈpriːdəsesə(r)/, /ˈpredəsesər/;  người đi trước, bậc tiền bối 
predilection /ˌpriːdɪˈlekʃn/, /ˌpredlˈekʃn/;  sự ưa chuộng, sự ưa thích đặc biệt (cái gì) 
predominant /ˈdɒmɪnənt/, /ˈdɑːmɪnənt/;  dễ nhận thấy nhất, trội hơn hẳn, nổi bật 
preliminary /nəri/, /neri/;  sơ bộ, ban đầu 
prerogative /ˈrɒɡətɪv/, /ˈrɑːɡətɪv/;  đặc quyền 
prestige /preˈstiːʒ/, /preˈstiːʒ/;  uy tín, thanh danh
prestigious /preˈstɪdʒəs/, /preˈstiːdʒəs/;  có uy tín, có thanh thế
presumably /ˈzjuːməbli/, /ˈzuːməbli/;  có lẽ
presumption /prɪˈzʌmpʃn/, /prɪˈzʌmpʃn/;  giả định
prevail /prɪˈveɪl/, /prɪˈveɪl/;  thịnh hành, phổ biến khắp, lan khắp
prevalent /ˈprevələnt/, /ˈprevələnt/;  phổ biến
prevaricate /prɪˈværɪkeɪt/, /prɪˈværɪkeɪt/;  nói quanh co
primitive /ˈprɪmətɪv/, /ˈprɪmətɪv/;  nguyên thủy
prior /ˈpraɪə(r)/, /ˈpraɪər/;  trước đó, trước (một khoản thời gian nào đó)
privilege /ˈprɪvəlɪdʒ/, /ˈprɪvəlɪdʒ/;  đặc quyền, đặc lợi
probe /prəʊb/, /proʊb/;  thăm dò, dò xét
procrastinate /prəˈkræstɪneɪt/, /prəˈkræstɪneɪt/;  trì hoãn, chần chừ 
prodigious /prəˈdɪdʒəs/, /prəˈdɪdʒəs/;  to lớn, lớn lao, phi thường
proficient /prəˈfɪʃnt/, /prəˈfɪʃnt/;  tài giỏi, thành thạo
profound /prəˈfaʊnd/, /prəˈfaʊnd/;  rất lớn, sâu sắc
prolong /prəˈlɒŋ/, /ˈlɔːŋ/;  kéo dài thời gian, gia hạn 
prominent /ˈprɒmɪnənt/, /ˈprɑːmɪnənt/;  quan trọng, nổi tiếng
promulgate /ˈprɒmlɡeɪt/, /ˈprɑːmlɡeɪt/;  truyền bá, phổ biến
prone /prəʊn/, /proʊn/;  dễ bị, dễ mắc phải
propagate /ˈprɒpəɡeɪt/, /ˈprɑːpəɡeɪt/;  tuyên truyền
propel /prəˈpel/, /prəˈpel/;  đẩy đi, đẩy tới 
propensity /prəˈpensəti/, /prəˈpensəti/;  khuynh hướng 
proponent /ˈpəʊnənt/, /ˈpoʊnənt/;  người đề nghị, người đề xuất, người đề xướng (một kiến nghị...)
propriety /prəˈpraɪəti/, /prəˈpraɪəti/;  sự đúng đắn, sự đúng mực 
prosperous /ˈprɒspərəs/, /ˈprɑːspərəs/;  thịnh vượng, phồn vinh 
provisional /prəˈvɪʒənl/, /prəˈvɪʒənl/;  tạm thời, lâm thời 
prowess /ˈpraʊəs/, /ˈpraʊəs/;  sự tinh thông, sự thành thạo 
proximity /prɒkˈsɪməti/, /prɑːkˈsɪməti/;  trạng thái ở gần (về không gian và thời gian...)
pseudonym /ˈsuːdənɪm/, /ˈsjuːdənɪm/;  biệt hiệu, bút danh
punitive /ˈpjuːnətɪv/, /ˈpjuːnətɪv/;  nhằm trừng phạt, nhằm trừng trị
quandary /ˈkwɒndəri/, /ˈkwɑːndəri/;  tình thế khó xử, tình huống lúng túng
querulous /ˈkwerələs/, /ˈkwerələs/;  hay càu nhàu, hay than phiền, dễ cáu kỉnh
quintessence /kwɪnˈtesns/, /kwɪnˈtesns/;  ví dụ hoàn hảo, điển hình
radical /ˈrædɪkl/, /ˈrædɪkl/;  cơ bản, hoàn toàn, triệt để
ramification /ˌræmɪfɪˈkeɪʃn/, /ˌræmɪfɪˈkeɪʃn/;  sự phân nhánh, sự chia nhánh 
ratio /əʊ/, /oʊ/;  tỷ số, tỷ lệ
rational /ˈræʃnəl/, /ˈræʃnəl/;  hợp lí, dựa trên lí trí
raw /rɔː/, /rɔː/;  thô, chưa tinh chế, còn nguyên chất
raze /reɪz/, /reɪz/;  san bằng, phá trụi
recapitulate /ˌriːkəˈpɪtʃuleɪt/, /ˌriːkəˈpɪtʃuleɪt/;  tóm lại, tóm tắt lại
recede /rɪˈsiːd/, /rɪˈsiːd/;  rời xa (ai hoặc một tình thế trước đó)
reciprocal /rɪˈsɪprəkl/, /rɪˈsɪprəkl/;  qua lại, tương hỗ
recover /rɪˈkʌvə(r)/, /rɪˈkʌvər/;  hồi phục
recumbent /rɪˈkʌmbənt/, /rɪˈkʌmbənt/;  nằm xuống
redeem /rɪˈdiːm/, /rɪˈdiːm/;  đền bù, bù lại
redolent /ˈredələnt/, /ˈredələnt/;  làm nhớ lại, làm gợi lại
redoubtable /rɪˈdaʊtəbl/, /rɪˈdaʊtəbl/;  được kính trọng, đáng sợ, đáng kính
refrain /rɪˈfreɪn/, /rɪˈfreɪn/;  kiềm chế
refute /rɪˈfjuːt/, /rɪˈfjuːt/;  bác bỏ
regime /reɪˈʒiːm/, /reɪˈʒiːm/;  chế độ
regulatory /təri/, /tɔːri/;  người điều chỉnh, người lãnh đạo
reimburse /ˈbɜːs/, /ˈbɜːrs/;  bồi thường
reiterate /riˈɪtəreɪt/, /riˈɪtəreɪt/;  làm lại, nói lại, lặp lại 
relinquish /rɪˈlɪŋkwɪʃ/, /rɪˈlɪŋkwɪʃ/;  từ bỏ (một cách không sẵn lòng) 
remarkable /ˈmɑːkəbl/, /ˈmɑːrkəbl/;  phi thường, đáng chú ý 
reminiscent /ˌremɪˈnɪsnt/, /ˌremɪˈnɪsnt/;  làm nhớ lại, gợi lại
remnant /ˈremnənt/, /ˈremnənt/;  tàn dư
remunerative /rɪˈmjuːnərətɪv/, /rɪˈmjuːnərətɪv/;  được trả hậu, có lợi
render /ˈrendə(r)/, /ˈrendər/;  làm, khiến (ai lâm vào tình trạng nào)
renegade /ˈrenɪɡeɪd/, /ˈrenɪɡeɪd/;  kẻ phản bội (phản đảng, phản đạo) 
renowned /rɪˈnaʊnd/, /rɪˈnaʊnd/;  lừng danh
replenish /rɪˈplenɪʃ/, /rɪˈplenɪʃ/;  làm đầy 
reprisal /rɪˈpraɪzl/, /rɪˈpraɪzl/;  sự trả thù, sự trả đũa 
resent /rɪˈzent/, /rɪˈzent/;  phẫn uất, không bằng lòng
residual /djuəl/, /dʒuəl/;  còn dư, còn lại, vôi ra
resilient /rɪˈzɪliənt/, /rɪˈzɪliənt/;  mau phục hồi (về thể chất hoặc tinh thần), kiên cường
respite /ˈrespaɪt/, /ˈrespɪt/;  sự nghỉ ngơi, thời gian nghỉ ngơi, giải lao
retain /rɪˈteɪn/, /rɪˈteɪn/;  giữ lại, vẫn còn
retinue /ˈretɪnjuː/, /ˈretənuː/;  đoàn tùy tùng
retribution /ˌretrɪˈbjuːʃn/, /ˌretrɪˈbjuːʃn/;  sự trừng phạt, sự báo thù
retrieve /rɪˈtriːv/, /rɪˈtriːv/;  lấy lại, mang về
reverberate /ˈvɜːbəreɪt/, /ˈvɜːrbəreɪt/;  dội lại, vang lại (âm thanh) 
rigid /ˈrɪdʒɪd/, /ˈrɪdʒɪd/;  cứng nhắc, không linh hoạt
rigorous /ˈrɪɡərəs/, /ˈrɪɡərəs/;  khắt khe, nghiêm ngặt
ripple /ˈrɪpl/, /ˈrɪpl/;  gợn sóng
rudimentary /ˌruːdɪˈmentri/, /ˌruːdɪˈmentri/;  sơ bộ, sơ đẳng
rural /ˈrʊərəl/, /ˈrʊrəl/;  (thuộc về) nông thôn
sacrosanct /krəʊsæŋkt/, /kroʊsæŋkt/;  quan trọng đến nỗi không thể thay đổi được, bất khả xâm phạm
sally /ˈsæli/, /ˈsæli/;  câu nhận xét hài hước
sanctimonious /ˈməʊniəs/, /ˈmoʊniəs/;  tỏ ra cao đạo, tỏ ra mộ đạo
sanction /ˈsæŋkʃn/, /ˈsæŋkʃn/;  sự phê chuẩn
sanctuary /uəri/, /ueri/;  khu bảo tồn
sanguine /ˈsæŋɡwɪn/, /ˈsæŋɡwɪn/;  lạc quan, đầy hi vọng
scatter /ˈskætə(r)/, /ˈskætər/;  tung, rải, rắc, gieo
scintilla /sɪnˈtɪlə/, /sɪnˈtɪlə/;  một lượng rất nhỏ, một chút
scorn /skɔːn/, /skɔːrn/;  sự khinh bỉ, sự khinh miệt, sự khinh rẻ
scribble /ˈskrɪbl/, /ˈskrɪbl/;  viết chữ nguệch ngoạc, viết cẩu thả, viết vội vàng
scrutinize /ˈskruːtənaɪz/, /ˈskruːtənaɪz/;  xem xét kĩ lưỡng 
seclude /sɪˈkluːd/, /sɪˈkluːd/;  tách biệt 
secular /ˈsekjələ(r)/, /ˈsekjələr/;  trường kỳ, muôn thuở
seek /siːk/, /siːk/;  tìm kiếm
serene /səˈriːn/, /səˈriːn/;  yên lặng, thanh bình
severe /ˈvɪə(r)/, /ˈvɪr/;  khắt khe, gay gắt
sheer /ʃɪə(r)/, /ʃɪr/;  chỉ là, đúng là, tuyệt đối
shroud /ʃraʊd/, /ʃraʊd/;  che đậy
sinecure /ˈsɪnɪkjʊə(r)/, /ˈsaɪnɪkjʊə(r)/;  công việc nhàn rỗi 
sinister /ˈsɪnɪstə(r)/, /ˈsɪnɪstər/;  có vẻ ác, có vẻ nguy hiểm
skepticism /ˈskeptɪsɪzəm/, /ˈskeptɪsɪzəm/;  sự hoài nghi 
slovenly /ˈslʌvnli/, /ˈslʌvnli/;  cẩu thả, lôi thôi 
solidarity /ˌsɒlɪˈdærəti/, /ˌsɑːlɪˈdærəti/;  sự đoàn kết, thống nhất
solitary /ˈsɒlətri/, /ˈsɑːləteri/;  diễn ra một mình
sophisticate /səˈfɪstɪkeɪt/, /səˈfɪstɪkeɪt/;  người thời lưu, người hiểu đời và nắm được xu thế văn hóa xã hội
sordid /ˈsɔːdɪd/, /ˈsɔːrdɪd/;  hèn mọn
span /spæn/, /spæn/;  quãng thời gian
specimen /ˈspesɪmən/, /ˈspesɪmən/;  mẫu, mẫu vật
spectacular /spekˈtækjələ(r)/, /spekˈtækjələr/;  ngoạn mục
spectrum /ˈspektrəm/, /ˈspektrəm/;  quang phổ
speculation /ˌspekjuˈleɪʃn/, /ˌspekjuˈleɪʃn/;  sự suy đoán
spontaneous /spɒnˈteɪniəs/, /spɑːnˈteɪniəs/;  ngẫu hứng, tự phát
sporadic /spəˈrædɪk/, /spəˈrædɪk/;  không thường xuyên, không đều đặn
spurn /spɜːn/, /spɜːrn/;  từ chối, hắt hủi
stagnant /ˈstæɡnənt/, /ˈstæɡnənt/;  tù đọng
static /ˈstætɪk/, /ˈstætɪk/;  không chuyển động, không thay đổi
statistics; số liệu thống kê
stigma /ˈstɪɡmə/, /ˈstɪɡmə/;  vết nhơ, điều sỉ nhục
stimulate /ˈstɪmjuleɪt/, /ˈstɪmjuleɪt/;  kích thích, khuyến khích
stipulate /ˈstɪpjuleɪt/, /ˈstɪpjuleɪt/;  quy định
stoic /kl/, /kl/;  người khắc kỷ (có thể chịu khổ mà không phàn nàn hoặc biểu lộ cảm xúc)
strenuous /ˈstrenjuəs/, /ˈstrenjuəs/;  đòi hỏi cố gắng lớn, vất vả
stringent /ˈstrɪndʒənt/, /ˈstrɪndʒənt/;  nghiêm ngặt
stumble /ˈstʌmbl/, /ˈstʌmbl/;  vấp phải
stupendous /stjuːˈpendəs/, /stuːˈpendəs/;  rất to lớn, rất quan trọng, vô cùng to lớn
sturdy /ˈstɜːdi/, /ˈstɜːrdi/;  cứng cáp, vững chắc
subdue /ˈdjuː/, /ˈduː/;  chinh phục, khuất phục
sublime /səˈblaɪm/, /səˈblaɪm/;  siêu phàm, tuyệt vời
subside /səbˈsaɪd/, /səbˈsaɪd/;  giảm bớt, lắng xuống
subsidy /ˈsʌbsədi/, /ˈsʌbsədi/;  tiền trợ cấp 
substantial /səbˈstænʃl/, /səbˈstænʃl/;  lớn, quan trọng 
subtle /ˈsʌtl/, /ˈsʌtl/;  khó thấy, không dễ phát hiện
sufficient /səˈfɪʃnt/, /səˈfɪʃnt/;  đủ, dùng đủ(cho một việc hay mục đích nào đó)
sultry /ˈsʌltri/, /ˈsʌltri/;  oi bức, ngột ngạt
supernatural /ˌsuːpəˈnætʃrəl/, /ˌsjuːpəˈnætʃrəl/;  siêu nhiên
surpass /səˈpɑːs/, /sərˈpæs/;  hơn, vượt qua
surveillance /sɜːˈveɪləns/, /sɜːrˈveɪləns/;  sự giám sát, sự theo dõi cẩn thận
suspend /səˈspend/, /səˈspend/;  tạm ngừng, đình chỉ
suspicious /səˈspɪʃəs/, /səˈspɪʃəs/;  đầy nghi ngờ 
swift /swɪft/, /swɪft/;  mau, nhanh, lẹ
sympathetic /ˌsɪmpəˈθetɪk/, /ˌsɪmpəˈθetɪk/;  cảm thông
tangible /ˈtændʒəbl/, /ˈtændʒəbl/;  hữu hình, có thể nhìn thấy được
tantamount /ˈtæntəmaʊnt/, /ˈtæntəmaʊnt/;  tương đương với, có giá trị như, ngang với
taunt /tɔːnt/, /tɔːnt/;  khiêu khích
temerity /təˈmerəti/, /təˈmerəti/;  sự táo bạo, sự liều lĩnh
temperate /ˈtempərət/, /ˈtempərət/;  có chừng mực, ôn hòa
temporal /ˈtempərəl/, /ˈtempərəl/;  duy vật
temporize /ˈtempəraɪz/, /ˈtempəraɪz/;  hoãn quyết định, hoãn trả lời dứt khoát, trì hoãn
tender /ˈtendə(r)/, /ˈtendər/;  âu yếm, dịu dàng
tenet /ˈtenɪt/, /ˈtenɪt/;  nguyên lý, giáo lý, chủ nghĩa
tentative /ˈtentətɪv/, /ˈtentətɪv/;  tạm thời
tenuous /ˈtenjuəs/, /ˈtenjuəs/;  yếu ớt, không chắc chắn
thermal /ˈθɜːml/, /ˈθɜːrml/;  thuộc về nhiệt
threshold /həʊld/, /hoʊld/;  (nghĩa bóng) ngưỡng cửa 
thrive /θraɪv/, /θraɪv/;  phát triển mạnh
topography /təˈpɒɡrəfi/, /təˈpɑːɡrəfi/;  đại thế, địa hình
trait /treɪt/, /treɪt/;  đức tính
tranquil /ˈtræŋkwɪl/, /ˈtræŋkwɪl/;  tĩnh lặng
transform /ˈfɔːm/, /ˈfɔːrm/;  thay đổi hình dạng của cái gì
transgress /trænzˈɡres/, /trænzˈɡres/;  vi phạm, vượt quá (giới hạn...) 
trauma /ˈtrɔːmə/, /ˈtrɔːmə/;  chấn thương tâm lí, tổn thương
tremulous /ˈtremjələs/, /ˈtremjələs/;  run(vì hốt hoảng, yếu đuối) 
trigger /ˈtrɪɡə(r)/, /ˈtrɪɡər/;  gây ra một cách đột ngột
triumph /ˈtraɪʌmf/, /ˈtraɪʌmf/;  thành tựu, chiến thắng 
trivial /ˈtrɪviəl/, /ˈtrɪviəl/;  tầm thường, không đáng kể, ít quan trọng
turgid /ˈtɜːdʒɪd/, /ˈtɜːrdʒɪd/;  cương, sưng, phồng lên
turmoil /ˈtɜːmɔɪl/, /ˈtɜːrmɔɪl/;  sự rối loạn, tình trạng hỗn loạn
ubiquitous /juːˈbɪkwɪtəs/, /juːˈbɪkwɪtəs/;  đầy rẫy, nơi nơi, nhan nhản
unauthorized /ʌnˈɔːθəraɪzd/, /ʌnˈɔːθəraɪzd/;  không được phép, trái phép
unbiased /ʌnˈbaɪəst/, /ʌnˈbaɪəst/;  công bằng, không thiên vị
uncalled for; không đúng lúc, đúng chỗ
uncanny /ʌnˈkæni/, /ʌnˈkæni/;  kỳ lạ, khó hiểu
uncouth /ʌnˈkuːθ/, /ʌnˈkuːθ/;  thô lỗ, bất lịch sự 
undergo /ˌʌndəˈɡəʊ/, /ˌʌndərˈɡoʊ/;  trải qua
undertake /dəˈteɪk/, /dərˈteɪk/;  đảm nhận, đảm trách 
unquenchable /ʌnˈkwentʃəbl/, /ʌnˈkwentʃəbl/;  không thoả mãn được, không thể làm cho nguôi, không thể nén (dục vọng, tình cảm..)
untenable /ʌnˈtenəbl/, /ʌnˈtenəbl/;  không thể cãi được
unveil /ˌʌnˈveɪl/, /ˌʌnˈveɪl/;  tuyên bố công khai, để lộ, tiết lộ
uphold /ˈhəʊld/, /ˈhoʊld/;  ủng hộ, duy trì
utilitarian /ˈteəriən/, /ˈteriən/;  mang tính hữu dụng, thiết thực
utilize /ˈjuːtəlaɪz/, /ˈjuːtəlaɪz/;  dùng, sử dụng, tận dụng
utter /ˈʌtə(r)/, /ˈʌtər/;  hoàn toàn, tuyệt đối
vague /veɪɡ/, /veɪɡ/;  mơ hồi
vain /veɪn/, /veɪn/;  vô ích, không có kết quả
valid /ˈvælɪd/, /ˈvælɪd/;  có giá trị, có hiệu lực, hợp lệ
vandalize /ˈvændəlaɪz/, /ˈvændəlaɪz/;  có chủ ý phá hoại, có chủ ý làm hư hỏng (tài sản công cộng..) 
vanish /ˈvænɪʃ/, /ˈvænɪʃ/;  biến mất
vanquish /ˈvæŋkwɪʃ/, /ˈvæŋkwɪʃ/;  đánh bại hoàn toàn 
variable /ˈveəriəbl/, /ˈveriəbl/;  có thể thay đổi, khả biến
vast /vɑːst/, /væst/;  rất lớn (diện tích, kích cỡ, lượng... )
venture /ˈventʃə(r)/, /ˈventʃər/;  liều, mạo hiểm, cả gan
versatile /ˈvɜːsətaɪl/, /ˈvɜːrsətl/;  đa tài, đa năng
vestige /ˈvestɪdʒ/, /ˈvestɪdʒ/;  dấu vết, vết tích 
vigorous /ˈvɪɡərəs/, /ˈvɪɡərəs/;  mãnh liệt, đầy sinh lực
violate /ˈvaɪəleɪt/, /ˈvaɪəleɪt/;  vi phạm, xâm phạm
virtual /ˈvɜːtʃuəl/, /ˈvɜːrtʃuəl/;  thực sự 
vital /ˈvaɪtl/, /ˈvaɪtl/;  thiết yếu, quan trọng, sống còn
vivid /ˈvɪvɪd/, /ˈvɪvɪd/;  sinh động
wary /ˈweəri/, /ˈweri/;  thận trọng, cảnh giác 
widespread /ˈwaɪdspred/, /ˈwaɪdspred/;  được lan rộng
withhold /wɪðˈhəʊld/, /ˈhoʊld/;  giữ lại, từ chối không cho
withstand /wɪðˈstænd/, /wɪðˈstænd/;  trụ lại, giữ vững
wretched /ˈretʃɪd/, /ˈretʃɪd/;  khốn khổ, rất bất hạnh, đáng thương 
yield /jiːld/, /jiːld/;  sản xuất, làm ra, mang lại (kết quả, lợi nhuận, thu hoạch)
zenith /ˈzenɪθ/, /ˈziːnɪθ/;  điểm cao nhất, đỉnh cao
